bin,movement_distance_low,movement_distance_high,movement_distance_mid,n_pairs,median_standard_grid_corr,q25_standard_grid_corr,q75_standard_grid_corr,median_predictive_corr,q25_predictive_corr,q75_predictive_corr,median_standard_minus_predictive_corr
0,9.35338030103594e-05,0.007202045293524861,0.0036477895482676104,1210,0.9847734546104465,0.9732067018769432,0.9923604643517039,0.9858112920168693,0.974118560365296,0.9924922689056214,-0.0001593057850058366
1,0.007202045293524861,0.010175235569477081,0.008688640431500971,1209,0.9808943353007029,0.9675519095889749,0.99003310243788,0.9813578368174324,0.9680127200262265,0.9904757252692257,7.578099794902649e-05
2,0.010175235569477081,0.012840706389397383,0.011507970979437232,1210,0.9814963706437141,0.9662102856781218,0.9898058697143406,0.9805723104339129,0.9656102978790251,0.9885644079159072,0.0007654229450875238
3,0.012840706389397383,0.015118056908249855,0.013979381648823619,1209,0.9770980527523238,0.9605531842443761,0.9868135336429632,0.976538866497482,0.9607347685174112,0.9856155774074221,0.00043217260695915805
4,0.015118056908249855,0.017309718765318394,0.016213887836784124,1210,0.9757267224244379,0.9583859119697973,0.986451887361278,0.97401432491322,0.9559274308324331,0.9846570863934284,0.002171008071515712
5,0.017309718765318394,0.01933790184557438,0.018323810305446386,1209,0.9714397996714581,0.9531261368917684,0.983347445163351,0.9707413912309435,0.952772898397465,0.981820889317216,0.0007874999554577933
6,0.01933790184557438,0.021266259253025055,0.020302080549299717,1210,0.9706007785734435,0.9491469449341594,0.9820523395679218,0.9672433672953012,0.9496594974451861,0.9797920990983287,0.001275651506127795
7,0.021266259253025055,0.02314450405538082,0.022205381654202938,1208,0.9675914847752964,0.9474788359110063,0.9802000867012927,0.9656529045628395,0.9468678804766653,0.9775832665104824,0.002303678095970263
8,0.02314450405538082,0.025034033693373203,0.024089268874377012,1211,0.9645001498114285,0.9442846965659838,0.9786317131949145,0.9627443634517787,0.9438236660716743,0.9759363833327338,0.0033940315954268385
9,0.025034033693373203,0.02695360966026783,0.025993821676820517,1208,0.9619342777721902,0.937333811368794,0.9772145380137147,0.9587250244990796,0.9368667372228023,0.9730530232464861,0.0038424396435254304
10,0.02695360966026783,0.028962010517716408,0.02795781008899212,1211,0.9567920194309751,0.9307123988604611,0.972836957589163,0.9521733802990022,0.92988110301703,0.9684768123919569,0.003972273187781594
11,0.028962010517716408,0.031086158007383347,0.030024084262549877,1208,0.9539947631513676,0.9284971004368238,0.9704733099671339,0.9498848451608868,0.9249636466540349,0.9663551968337645,0.004757013628467421
12,0.031086158007383347,0.03331742808222771,0.03220179304480553,1211,0.950190371654964,0.9255688931112105,0.9690476488375681,0.9456093461755414,0.921705373514466,0.963811923008641,0.005235473410100999
13,0.03331742808222771,0.035698242485523224,0.034507835283875465,1209,0.9431458446795724,0.9144025271859989,0.9657645952976259,0.9405347911005264,0.9134419431322931,0.9595276930170836,0.005790875552690311
14,0.035698242485523224,0.03840092197060585,0.03704958222806454,1210,0.9408458153365375,0.9074031327238508,0.9621511910143606,0.9356263290619001,0.9056538721379133,0.9561217521238852,0.0052575801235004715
15,0.03840092197060585,0.041291818022727966,0.03984636999666691,1208,0.93416748985202,0.9046510362313543,0.9581522044241202,0.9289377328648983,0.8979465626073304,0.9514320444445987,0.007568465740847741
16,0.041291818022727966,0.044828085228800774,0.04305995162576437,1211,0.925581899620416,0.8889914820323879,0.9502424451864235,0.9172422408005865,0.8815706455533969,0.9431605644736631,0.00844075447694781
17,0.044828085228800774,0.04931248724460602,0.047070286236703396,1209,0.9230063285677288,0.8768346903798572,0.9476877679919538,0.9102444786379127,0.8724775434316725,0.9353343010335587,0.010991814479548445
18,0.04931248724460602,0.05644340626895428,0.05287794675678015,1210,0.9053551660924518,0.8621477256255197,0.9389794608364141,0.8974444047358027,0.8556994321020194,0.9270018759543839,0.0095074369484614
19,0.05644340626895428,0.10152827948331833,0.0789858428761363,1210,0.8755009984732312,0.8213941933934922,0.913516460571952,0.8657762933430129,0.8109496865747357,0.9033783349332237,0.014092657416292786
