bin,movement_distance_low,movement_distance_high,movement_distance_mid,n_pairs,median_standard_grid_corr,q25_standard_grid_corr,q75_standard_grid_corr,median_predictive_corr,q25_predictive_corr,q75_predictive_corr,median_standard_minus_predictive_corr
0,0.0158427394926548,0.01643650308251381,0.016139621287584303,1,0.9396366037409639,0.9396366037409639,0.9396366037409639,0.9085218873995852,0.9085218873995852,0.9085218873995852,0.031114716341378745
1,0.01643650308251381,0.01698295585811138,0.016709729470312594,1,0.9899720795205995,0.9899720795205995,0.9899720795205995,0.9828407599995818,0.9828407599995818,0.9828407599995818,0.007131319521017754
2,0.01698295585811138,0.01847742535173893,0.017730190604925155,1,0.972765610136512,0.972765610136512,0.972765610136512,0.9356718856248981,0.9356718856248981,0.9356718856248981,0.03709372451161386
3,0.01847742535173893,0.020367733389139175,0.01942257937043905,1,0.8863641734310279,0.8863641734310279,0.8863641734310279,0.8774621822512522,0.8774621822512522,0.8774621822512522,0.008901991179775748
5,0.02055419608950615,0.021730484813451766,0.021142340451478957,1,0.931202499619749,0.931202499619749,0.931202499619749,0.8799544032766426,0.8799544032766426,0.8799544032766426,0.05124809634310634
6,0.021730484813451766,0.022678568959236145,0.022204526886343955,1,0.9618723692344201,0.9618723692344201,0.9618723692344201,0.9453963849676809,0.9453963849676809,0.9453963849676809,0.01647598426673924
7,0.022678568959236145,0.02424425855278969,0.02346141375601292,1,0.9670354387989971,0.9670354387989971,0.9670354387989971,0.916622054244812,0.916622054244812,0.916622054244812,0.05041338455418509
8,0.02424425855278969,0.026208655908703804,0.02522645723074675,1,0.969329819555787,0.969329819555787,0.969329819555787,0.9255229352417451,0.9255229352417451,0.9255229352417451,0.043806884314041894
10,0.027288155630230904,0.03047909177839756,0.028883623704314233,1,0.9188989221096275,0.9188989221096275,0.9188989221096275,0.8891213156959117,0.8891213156959117,0.8891213156959117,0.02977760641371585
11,0.03047909177839756,0.03138658180832863,0.030932836793363096,1,0.8620995810470821,0.8620995810470821,0.8620995810470821,0.7951868526938207,0.7951868526938207,0.7951868526938207,0.06691272835326134
12,0.03138658180832863,0.03229186609387398,0.03183922395110131,1,0.945053527166799,0.945053527166799,0.945053527166799,0.9018858912975714,0.9018858912975714,0.9018858912975714,0.04316763586922767
13,0.03229186609387398,0.033879005908966066,0.03308543600142003,1,0.8807331065944434,0.8807331065944434,0.8807331065944434,0.8078195432740783,0.8078195432740783,0.8078195432740783,0.07291356332036503
15,0.035234883427619934,0.03605720102787018,0.03564604222774506,1,0.9562973099944392,0.9562973099944392,0.9562973099944392,0.8907562119130638,0.8907562119130638,0.8907562119130638,0.06554109808137543
16,0.03605720102787018,0.038017412275075914,0.03703730665147305,1,0.9079810351346066,0.9079810351346066,0.9079810351346066,0.8447092533381215,0.8447092533381215,0.8447092533381215,0.06327178179648507
17,0.038017412275075914,0.04144677445292473,0.039732093364000326,1,0.932355952243518,0.932355952243518,0.932355952243518,0.8980546709735574,0.8980546709735574,0.8980546709735574,0.03430128126996057
18,0.04144677445292473,0.05266399830579755,0.047055386379361144,1,0.9462011720089438,0.9462011720089438,0.9462011720089438,0.8812353432293942,0.8812353432293942,0.8812353432293942,0.0649658287795496
19,0.05266399830579755,0.08397524803876877,0.06831962317228316,1,0.7429268176417508,0.7429268176417508,0.7429268176417508,0.537112039799623,0.537112039799623,0.537112039799623,0.20581477784212787
