bin,movement_distance_low,movement_distance_high,movement_distance_mid,n_pairs,median_standard_grid_corr,q25_standard_grid_corr,q75_standard_grid_corr,median_predictive_corr,q25_predictive_corr,q75_predictive_corr,median_standard_minus_predictive_corr
0,0.0158427394926548,0.01643650308251381,0.016139621287584303,1,0.9417469926096621,0.9417469926096621,0.9417469926096621,0.9077379357534797,0.9077379357534797,0.9077379357534797,0.034009056856182385
1,0.01643650308251381,0.01698295585811138,0.016709729470312594,1,0.9791337732916043,0.9791337732916043,0.9791337732916043,0.9700529218395479,0.9700529218395479,0.9700529218395479,0.009080851452056393
2,0.01698295585811138,0.01847742535173893,0.017730190604925155,1,0.9714251078495239,0.9714251078495239,0.9714251078495239,0.9508981073442834,0.9508981073442834,0.9508981073442834,0.020527000505240478
3,0.01847742535173893,0.020367733389139175,0.01942257937043905,1,0.9351810333249304,0.9351810333249304,0.9351810333249304,0.9400157410904677,0.9400157410904677,0.9400157410904677,-0.004834707765537294
5,0.02055419608950615,0.021730484813451766,0.021142340451478957,1,0.9419976821402714,0.9419976821402714,0.9419976821402714,0.9361210235818899,0.9361210235818899,0.9361210235818899,0.005876658558381487
6,0.021730484813451766,0.022678568959236145,0.022204526886343955,1,0.9274699396055373,0.9274699396055373,0.9274699396055373,0.950409632403571,0.950409632403571,0.950409632403571,-0.02293969279803376
7,0.022678568959236145,0.02424425855278969,0.02346141375601292,1,0.9368770677332691,0.9368770677332691,0.9368770677332691,0.9280238925376919,0.9280238925376919,0.9280238925376919,0.008853175195577156
8,0.02424425855278969,0.026208655908703804,0.02522645723074675,1,0.9095499111915798,0.9095499111915798,0.9095499111915798,0.9380790699730823,0.9380790699730823,0.9380790699730823,-0.028529158781502528
10,0.027288155630230904,0.03047909177839756,0.028883623704314233,1,0.9635441111624224,0.9635441111624224,0.9635441111624224,0.8829263892340096,0.8829263892340096,0.8829263892340096,0.08061772192841288
11,0.03047909177839756,0.03138658180832863,0.030932836793363096,1,0.8551862145798371,0.8551862145798371,0.8551862145798371,0.8500231852885406,0.8500231852885406,0.8500231852885406,0.005163029291296528
12,0.03138658180832863,0.03229186609387398,0.03183922395110131,1,0.9710451574582709,0.9710451574582709,0.9710451574582709,0.9355994741999633,0.9355994741999633,0.9355994741999633,0.03544568325830766
13,0.03229186609387398,0.033879005908966066,0.03308543600142003,1,0.8804183612309395,0.8804183612309395,0.8804183612309395,0.8368629690884816,0.8368629690884816,0.8368629690884816,0.04355539214245796
15,0.035234883427619934,0.03605720102787018,0.03564604222774506,1,0.9673137255164544,0.9673137255164544,0.9673137255164544,0.8362253085019697,0.8362253085019697,0.8362253085019697,0.1310884170144847
16,0.03605720102787018,0.038017412275075914,0.03703730665147305,1,0.90443710581896,0.90443710581896,0.90443710581896,0.8859153701241694,0.8859153701241694,0.8859153701241694,0.018521735694790542
17,0.038017412275075914,0.04144677445292473,0.039732093364000326,1,0.9351811962727125,0.9351811962727125,0.9351811962727125,0.8600909500800454,0.8600909500800454,0.8600909500800454,0.07509024619266702
18,0.04144677445292473,0.05266399830579755,0.047055386379361144,1,0.9523145616431509,0.9523145616431509,0.9523145616431509,0.9261406744303868,0.9261406744303868,0.9261406744303868,0.026173887212764035
19,0.05266399830579755,0.08397524803876877,0.06831962317228316,1,0.5503221621568611,0.5503221621568611,0.5503221621568611,0.5864423909092541,0.5864423909092541,0.5864423909092541,-0.03612022875239296
