pair_id,batch,crossing_step,future_horizon,angle_sep_deg,future_position_sep_cm,signal,n_units,correlation
0,0,16,8,92.81216430664062,54.31838607788086,predictive,93,0.6545974417529228
0,0,16,8,92.81216430664062,54.31838607788086,standard_grid,102,0.5625414021061476
0,0,16,8,92.81216430664062,54.31838607788086,retrospective,84,0.6948867406314522
0,0,16,8,92.81216430664062,54.31838607788086,band,0,nan
0,0,16,8,92.81216430664062,54.31838607788086,standard_grid_matched_count,93,0.548053360386169
0,0,16,8,92.81216430664062,54.31838607788086,random_matched_count,93,0.7705016382248121
1,0,16,8,40.67227554321289,26.064533233642578,predictive,93,0.8573567752046203
1,0,16,8,40.67227554321289,26.064533233642578,standard_grid,102,0.904735760130585
1,0,16,8,40.67227554321289,26.064533233642578,retrospective,84,0.9292768935850775
1,0,16,8,40.67227554321289,26.064533233642578,band,0,nan
1,0,16,8,40.67227554321289,26.064533233642578,standard_grid_matched_count,93,0.9042831564588961
1,0,16,8,40.67227554321289,26.064533233642578,random_matched_count,93,0.9374949856196901
2,0,16,8,147.8331298828125,72.06444549560547,predictive,93,0.43247246960439767
2,0,16,8,147.8331298828125,72.06444549560547,standard_grid,102,0.2856393203211237
2,0,16,8,147.8331298828125,72.06444549560547,retrospective,84,0.5575764602670584
2,0,16,8,147.8331298828125,72.06444549560547,band,0,nan
2,0,16,8,147.8331298828125,72.06444549560547,standard_grid_matched_count,93,0.3801898527301292
2,0,16,8,147.8331298828125,72.06444549560547,random_matched_count,93,0.43103791748647424
3,0,16,8,98.56747436523438,56.846195220947266,predictive,93,0.7142231915970332
3,0,16,8,98.56747436523438,56.846195220947266,standard_grid,102,0.3437665426372799
3,0,16,8,98.56747436523438,56.846195220947266,retrospective,84,0.7556689736384744
3,0,16,8,98.56747436523438,56.846195220947266,band,0,nan
3,0,16,8,98.56747436523438,56.846195220947266,standard_grid_matched_count,93,0.38743139740733906
3,0,16,8,98.56747436523438,56.846195220947266,random_matched_count,93,0.7278139615139095
4,0,16,8,30.769065856933594,19.897188186645508,predictive,93,0.9597951397619574
4,0,16,8,30.769065856933594,19.897188186645508,standard_grid,102,0.9404544003477712
4,0,16,8,30.769065856933594,19.897188186645508,retrospective,84,0.9754087353731633
4,0,16,8,30.769065856933594,19.897188186645508,band,0,nan
4,0,16,8,30.769065856933594,19.897188186645508,standard_grid_matched_count,93,0.9464389062595224
4,0,16,8,30.769065856933594,19.897188186645508,random_matched_count,93,0.9665472421693275
5,0,16,8,122.71790313720703,65.82299041748047,predictive,93,0.30423332567088807
5,0,16,8,122.71790313720703,65.82299041748047,standard_grid,102,0.6572284717344345
5,0,16,8,122.71790313720703,65.82299041748047,retrospective,84,0.6420677284985506
5,0,16,8,122.71790313720703,65.82299041748047,band,0,nan
5,0,16,8,122.71790313720703,65.82299041748047,standard_grid_matched_count,93,0.6687321334015737
5,0,16,8,122.71790313720703,65.82299041748047,random_matched_count,93,0.5520941617349064
6,0,16,8,147.3918914794922,71.98390197753906,predictive,93,0.41825097005390444
6,0,16,8,147.3918914794922,71.98390197753906,standard_grid,102,0.3849422132358303
6,0,16,8,147.3918914794922,71.98390197753906,retrospective,84,0.4352242542256798
6,0,16,8,147.3918914794922,71.98390197753906,band,0,nan
6,0,16,8,147.3918914794922,71.98390197753906,standard_grid_matched_count,93,0.37573042420711816
6,0,16,8,147.3918914794922,71.98390197753906,random_matched_count,93,0.39386541542303394
7,0,16,8,100.7844009399414,57.78199005126953,predictive,93,0.4669147201015424
7,0,16,8,100.7844009399414,57.78199005126953,standard_grid,102,0.5807192677553689
7,0,16,8,100.7844009399414,57.78199005126953,retrospective,84,0.5975863135094219
7,0,16,8,100.7844009399414,57.78199005126953,band,0,nan
7,0,16,8,100.7844009399414,57.78199005126953,standard_grid_matched_count,93,0.5712373530435508
7,0,16,8,100.7844009399414,57.78199005126953,random_matched_count,93,0.6606078123267243
8,0,16,8,68.3617935180664,42.13556671142578,predictive,93,0.8241072808443421
8,0,16,8,68.3617935180664,42.13556671142578,standard_grid,102,0.5397343270488101
8,0,16,8,68.3617935180664,42.13556671142578,retrospective,84,0.860271267092582
8,0,16,8,68.3617935180664,42.13556671142578,band,0,nan
8,0,16,8,68.3617935180664,42.13556671142578,standard_grid_matched_count,93,0.5595700663567825
8,0,16,8,68.3617935180664,42.13556671142578,random_matched_count,93,0.846103726786865
9,0,16,8,52.50092697143555,33.17219543457031,predictive,93,0.6550089624166612
9,0,16,8,52.50092697143555,33.17219543457031,standard_grid,102,0.9258716277111826
9,0,16,8,52.50092697143555,33.17219543457031,retrospective,84,0.7541980360966313
9,0,16,8,52.50092697143555,33.17219543457031,band,0,nan
9,0,16,8,52.50092697143555,33.17219543457031,standard_grid_matched_count,93,0.9251037054117653
9,0,16,8,52.50092697143555,33.17219543457031,random_matched_count,93,0.8650642449460563
10,0,16,8,110.70319366455078,61.699222564697266,predictive,93,0.4122884644603038
10,0,16,8,110.70319366455078,61.699222564697266,standard_grid,102,0.7813702959405731
10,0,16,8,110.70319366455078,61.699222564697266,retrospective,84,0.4674638608290825
10,0,16,8,110.70319366455078,61.699222564697266,band,0,nan
10,0,16,8,110.70319366455078,61.699222564697266,standard_grid_matched_count,93,0.76443871089813
10,0,16,8,110.70319366455078,61.699222564697266,random_matched_count,93,0.6393353330153057
11,0,16,8,53.41288757324219,33.70646286010742,predictive,93,0.8613150000015614
11,0,16,8,53.41288757324219,33.70646286010742,standard_grid,102,0.7881245811132539
11,0,16,8,53.41288757324219,33.70646286010742,retrospective,84,0.8949009768900578
11,0,16,8,53.41288757324219,33.70646286010742,band,0,nan
11,0,16,8,53.41288757324219,33.70646286010742,standard_grid_matched_count,93,0.7997281901532648
11,0,16,8,53.41288757324219,33.70646286010742,random_matched_count,93,0.878353372000082
12,0,16,8,99.32254791259766,57.167320251464844,predictive,93,0.3383414953554149
12,0,16,8,99.32254791259766,57.167320251464844,standard_grid,102,0.6613478003619515
12,0,16,8,99.32254791259766,57.167320251464844,retrospective,84,0.6000048008368623
